,accounting,airport,amusement_park,aquarium,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,electrician,electronics_store,embassy,fire_station,florist,food (deprecated),funeral_home,furniture_store,gas_station,grocery_or_supermarket,gym,hair_care,hardware_store,hindu_temple,home_goods_store,hospital,id,insurance_agency,jewelry_store,lat,laundry,lawyer,library,liquor_store,lng,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,name,night_club,num_photos,painter,park,parking,pet_store,pharmacy,physiotherapist,place_id,plumber,police,post_office,rating,real_estate_agency,restaurant,roofing_contractor,rv_park,school,shoe_store,shopping_mall,spa,stadium,storage,store,subway_station,synagogue,taxi_stand,train_station,transit_station,travel_agency,university,veterinary_care,vicinity,zoo
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832141ebc4141ab276871e5d40d96630e2210315,0.0,0.0,39.0167069,0.0,0.0,0.0,0.0,-77.0238953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIC CPA & Staffing,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJyXgBl0_Pt4kRxSjqw-0_gqI,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver Spring,0.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c66e728dae7a2392b4ce535d89bb2349d9ec8f96,0.0,0.0,39.017697,0.0,0.0,0.0,0.0,-77.022615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miller Rosemary,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJOxsBWEXPt4kRXn2sxlvl71M,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"809 Forest Glen Road, Silver Spring",0.0
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ae1246590b9984a8b0bd1ddf663e66ad87945286,0.0,0.0,39.018891,0.0,0.0,0.0,0.0,-77.0144548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark A Stephens Ltd,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJl6ZbCFnPt4kREImDwTDi9jY,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10018 Colesville Road, Silver Spring",0.0
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cf319f036101b5db48a71bf7a3fe969c726275f0,0.0,0.0,39.018891,0.0,0.0,0.0,0.0,-77.0144548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kazim & Associates,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJl6ZbCFnPt4kRm-sWjdNYNA0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10010 Colesville Road # B, Silver Spring",0.0
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6ca9b980644b96eb10223b95e16b1134524c5cd0,0.0,0.0,39.018891,0.0,0.0,0.0,0.0,-77.0144548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heron & Lindeire CPAs PC,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJ23hApFnPt4kRvvQQ1zViK6k,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10014 Colesville Road, Silver Spring",0.0
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51b8c4fb0e8c8d06590697982333419b722c4ea6,0.0,0.0,39.018891,0.0,0.0,0.0,0.0,-77.0144548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdulla Kazim CPA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJjUOMB1nPt4kRaovzMNtx08M,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10010 Colesville Road # B, Silver Spring",0.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c66e728dae7a2392b4ce535d89bb2349d9ec8f96,0.0,0.0,39.017697,0.0,0.0,0.0,0.0,-77.022615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miller Rosemary,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJOxsBWEXPt4kRXn2sxlvl71M,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"809 Forest Glen Road, Silver Spring",0.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5caf8af83d2cc2c1d3307d8c4b205815410be371,0.0,0.0,39.0203461,0.0,0.0,0.0,0.0,-77.0116919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Planet Tax Services,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJ3XcmxFjPt4kRS2jUoT-ZBNg,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10111 Colesville Rd, Suite 117, 10111 Colesville Road, Silver Spring",0.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b696b0ce71f01cba40f4b17c7757d420ed937bce,0.0,0.0,39.0205957,0.0,0.0,0.0,0.0,-77.0119112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tax Wisdom,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJrc-3wFjPt4kRttdVO6J8JaU,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10125 Colesville Road, Silver Spring",0.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f0896754ed4ec1623d68e3686298a70333d1d571,0.0,0.0,39.0111853,0.0,0.0,0.0,0.0,-77.0412835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Byrd C Paul CPA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJDWsGFDPPt4kRiedU4lwIBsY,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9525 Georgia Avenue # 4, Silver Spring",0.0
