,accounting,airport,amusement_park,aquarium,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,electrician,electronics_store,embassy,fire_station,florist,food (deprecated),funeral_home,furniture_store,gas_station,grocery_or_supermarket,gym,hair_care,hardware_store,hindu_temple,home_goods_store,hospital,id,insurance_agency,jewelry_store,lat,laundry,lawyer,library,liquor_store,lng,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,name,night_club,num_photos,painter,park,parking,pet_store,pharmacy,physiotherapist,place_id,plumber,police,post_office,price_level,rating,real_estate_agency,restaurant,roofing_contractor,rv_park,school,shoe_store,shopping_mall,spa,stadium,storage,store,subway_station,synagogue,taxi_stand,train_station,transit_station,travel_agency,university,veterinary_care,vicinity,zoo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302e3b9f55cbcff5fa1bff580990ab398b22bd24,0.0,0.0,39.0060016,0.0,0.0,0.0,0.0,-77.0374253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grace Episcopal Cemetery,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJOTSdlcvIt4kR0Glq1hPXWmU,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1607 Grace Church Road, Silver Spring",0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3f0364787ea7b62e0ecdbbd225c9a640bcaa3849,0.0,0.0,38.9707606,0.0,0.0,0.0,0.0,-77.0266704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Battleground National Cemetery,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,ChIJ5QggQonIt4kRrYrt0K6PbaA,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474b5f0e266200ac65cec7a1a8187cccc31d97ed,0.0,0.0,38.941691,0.0,0.0,0.0,0.0,-77.0239798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tri-State Funeral Services,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJU2o_cYu3t4kRN4k4i_STg6Q,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"814 Upshur Street Northwest, Washington",0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a000161626cbaa823a7aa4be0d04e1d8984dad6d,0.0,0.0,38.947444,0.0,0.0,0.0,0.0,-77.012036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rock Creek Cemetery,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJYeM8unXIt4kR_oEYBU2JCss,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"201 Allison Street Northwest, Washington",0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841005639625d42e2d03417aaa7ab15698f32e07,0.0,0.0,38.9469231,0.0,0.0,0.0,0.0,-77.012095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St. Paul's Episcopal Church,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJ_-QWtArIt4kRoKBDW5jSRZ8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"201 Allison Street Northwest, Washington",0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46743bfaf504ca4c77245f663ca738bf4c8d60c9,0.0,0.0,38.9445855,0.0,0.0,0.0,0.0,-77.0085853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soldiers Home Cemetery,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJW6V4CuDHt4kRPE7ikS45Voc,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e14f8d919097c9fe95f0ae43e1f5424607cba73f,0.0,0.0,38.9444688,0.0,0.0,0.0,0.0,-77.008791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soldiers Home Natl Cemetery,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJs9oURODHt4kRRz1EqHxgDDU,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"21 Harewood Road Northwest, Washington",0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481bdcc15827b2406b9a13995adee9cb9b77d030,0.0,0.0,38.9475278,0.0,0.0,0.0,0.0,-77.0154167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox Christian Cemetery,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJn-4KiHTIt4kRNUmQitTjNvE,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"38°56'51. 77°00'55., 1405 1/2 5th Street Northwest, Washington",0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46743bfaf504ca4c77245f663ca738bf4c8d60c9,0.0,0.0,38.9445855,0.0,0.0,0.0,0.0,-77.0085853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soldiers Home Cemetery,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJW6V4CuDHt4kRPE7ikS45Voc,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e14f8d919097c9fe95f0ae43e1f5424607cba73f,0.0,0.0,38.9444688,0.0,0.0,0.0,0.0,-77.008791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Soldiers Home Natl Cemetery,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJs9oURODHt4kRRz1EqHxgDDU,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"21 Harewood Road Northwest, Washington",0.0
