,accounting,airport,amusement_park,aquarium,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,electrician,electronics_store,embassy,fire_station,florist,funeral_home,furniture_store,gas_station,grocery_or_supermarket,gym,hair_care,hardware_store,hindu_temple,home_goods_store,hospital,id,insurance_agency,jewelry_store,lat,laundry,lawyer,library,liquor_store,lng,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,name,night_club,num_photos,painter,park,parking,pet_store,pharmacy,physiotherapist,place_id,plumber,police,post_office,price_level,rating,real_estate_agency,restaurant,roofing_contractor,rv_park,school,shoe_store,shopping_mall,spa,stadium,storage,store,subway_station,synagogue,taxi_stand,train_station,transit_station,travel_agency,university,veterinary_care,vicinity,zoo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ca591010c2fc2da27d2263df5431ab54f5fe0ce5,0.0,0.0,39.0164125,0.0,0.0,0.0,0.0,-77.0190066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Arrow Delivery,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJFfZrfVDPt4kRBT7Bh0Wzzds,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"550 Forest Glen Road, Silver Spring",0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220870164651d99d91279f99be7aee3733c38d1f,0.0,0.0,39.0071667,0.0,0.0,0.0,0.0,-77.0056201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mike's Hauling Services,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJzUufbv7Ft4kRhHf1kt9jq74,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9128 Walden Road, Silver Spring",0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a4c9f91d75d69556e172dbed166348f515159cf5,0.0,0.0,39.0,0.0,0.0,0.0,0.0,-77.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Equipment Transport Contractors,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJvxyBg2zFt4kRRNVyzbhVniw,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver Spring,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0ba38960ebfa081d579d42cb94252177c7c3d165,0.0,0.0,38.9932222,0.0,0.0,0.0,0.0,-77.0469769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MD Movers,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJ-6Sf8dzIt4kRId2MNEb98c0,0.0,0.0,0.0,,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2236 Washington Avenue, Silver Spring",0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3b8cf4e18983f85e9988d8628b4c5793ed9d2a05,0.0,0.0,38.996794,0.0,0.0,0.0,0.0,-77.029696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Move Rite Inc,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJ4yBlxLnIt4kR-3_hL9C_3x4,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8670 Georgia Avenue, Silver Spring",0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b7e4cfb45347361a21acb44e6e69accdd39080c2,0.0,0.0,38.9970048,0.0,0.0,0.0,0.0,-77.0320799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,VIP Express,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJBaAcFbjIt4kRmYtCIMurt0s,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1320 Fenwick Lane # 205, Silver Spring",0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0fd103822c81e0917fd218fdf4040b454731e458,0.0,0.0,38.989862,0.0,0.0,0.0,0.0,-77.023616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Esther Express Co,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJFUsW5LzIt4kR9IrA7NVR7zM,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"850 Sligo Avenue, Silver Spring",0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9cf60eec4471ae941b11591888c360a816ed2816,0.0,0.0,38.991996,0.0,0.0,0.0,0.0,-77.023451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Diligent Transportation, Inc.",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJBWijn7zIt4kRFOI5b0NMowE,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"817 Silver Spring Avenue #409B, Silver Spring",0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27ca7b26b8610598724dbba36c69084ba3a6d7cb,0.0,0.0,38.990989,0.0,0.0,0.0,0.0,-77.020321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,My Silver Spring Best Twins Movers | Mover & Moving Company and Commercial Mover,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJq6qqqr7Ft4kRxbAYJqw44IU,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1813 Mount Pisgah Lane #11, Silver Spring",0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348c4e38dce8a4edc3cadad1427c928ea1470c87,0.0,0.0,38.9912149,0.0,0.0,0.0,0.0,-77.007489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Investments Move Mountain,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJFadPMxzGt4kRmENizTX2a10,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"21 Sussex Road, Silver Spring",0.0
