,accounting,airport,amusement_park,aquarium,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,electrician,electronics_store,embassy,fire_station,florist,funeral_home,furniture_store,gas_station,grocery_or_supermarket,gym,hair_care,hardware_store,hindu_temple,home_goods_store,hospital,id,insurance_agency,jewelry_store,lat,laundry,lawyer,library,liquor_store,lng,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,name,night_club,num_photos,painter,park,parking,pet_store,pharmacy,physiotherapist,place_id,plumber,police,post_office,price_level,rating,real_estate_agency,restaurant,roofing_contractor,rv_park,school,shoe_store,shopping_mall,spa,stadium,storage,store,subway_station,synagogue,taxi_stand,train_station,transit_station,travel_agency,university,veterinary_care,vicinity,zoo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6bef8219e25dde05ca3a7092a847e67e01ed26db,0.0,0.0,39.013715,0.0,0.0,0.0,0.0,-77.007067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Museum Services,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJTQXIrvnFt4kRgNtLG0xhehM,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9611 Clearview Place, Silver Spring",0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0415eea89871f02c8428d55e7ece2bb95b8bf4d0,0.0,0.0,39.0110383,0.0,0.0,0.0,0.0,-77.0407816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Meditation Museum,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJWx9Q97vIt4kRCCQajGx-wbs,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9525 Georgia Avenue, Suite 101, Silver Spring",0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,083ea72d615e51ba77a2ba7a2cf6c76f067b2195,0.0,0.0,38.9902752,0.0,0.0,0.0,0.0,-77.0269967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Montgomery Preservation Inc,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJkYfiMbzIt4kRdHVMQi_eYVQ,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8100 Georgia Avenue, Silver Spring",0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,083ea72d615e51ba77a2ba7a2cf6c76f067b2195,0.0,0.0,38.9902752,0.0,0.0,0.0,0.0,-77.0269967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Montgomery Preservation Inc,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJkYfiMbzIt4kRdHVMQi_eYVQ,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8100 Georgia Avenue, Silver Spring",0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63e74ab471e2854ff221f11b6aa30c12277784cd,0.0,0.0,38.9807454,0.0,0.0,0.0,0.0,-77.0145554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Simonsson Maria,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJccrjIJzIt4kRQiBLVCzDh00,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7403 Holly Avenue, Takoma Park",0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eee29ff823bd1abd6277a1e20ae25f177d3ccd60,0.0,0.0,38.9599533,0.0,0.0,0.0,0.0,-77.0516734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Rock Creek Park Nature Center and Planetarium,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJ111pDlLIt4kRmIqemAXupxs,0.0,0.0,0.0,,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"5200 Glover Road Northwest, Washington",0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3a8b4e1492cae887c57c4752023d28568c983a74,0.0,0.0,38.9556295,0.0,0.0,0.0,0.0,-77.0491134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Rock Creek Capitol Ruins,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJM_KN7E7It4kRFWTp0nOHySk,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,edeb0803c7dd3c3af7c37bbafd9f45fa77bdd727,0.0,0.0,38.9562826,0.0,0.0,0.0,0.0,-77.0334232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sam Gilliams Art Studio,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJo-yfoELIt4kRNC51HW9j8JI,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5507 14th Street Northwest, Washington",0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c915ea5d26168e7d466289f380a64ed844a7c0ba,0.0,0.0,38.9602386,0.0,0.0,0.0,0.0,-76.9318058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Riversdale House Museum,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJRf7i1NvGt4kRFSiLaC3rfCU,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4811 Riverdale Road, Riverdale",0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fc1afe67d641615c241565634196b4dbdd64ffe3,0.0,0.0,38.95516,0.0,0.0,0.0,0.0,-77.070893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Irish-American Outreach Program Of DC,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJq9KrdbnJt4kRfbINzR4Pc00,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"nw 20008, 5007 Nebraska Avenue Northwest, Washington",0.0
