,accounting,airport,amusement_park,aquarium,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,electrician,electronics_store,embassy,fire_station,florist,funeral_home,furniture_store,gas_station,grocery_or_supermarket,gym,hair_care,hardware_store,hindu_temple,home_goods_store,hospital,id,insurance_agency,jewelry_store,lat,laundry,lawyer,library,liquor_store,lng,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,name,night_club,num_photos,painter,park,parking,pet_store,pharmacy,physiotherapist,place_id,plumber,police,post_office,price_level,rating,real_estate_agency,restaurant,roofing_contractor,rv_park,school,shoe_store,shopping_mall,spa,stadium,storage,store,subway_station,synagogue,taxi_stand,train_station,transit_station,travel_agency,university,veterinary_care,vicinity,zoo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0976d1e5c07bce959e9b2e2817ac9ec1a98caf85,0.0,0.0,39.0173832,0.0,0.0,0.0,0.0,-77.02461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Four Corners Park,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,ChIJRWz4gk_Pt4kRlzj7V-ARovY,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver Spring,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5b5092a2e0c0349e5d2e8bc13a210b7679840612,0.0,0.0,39.0173977,0.0,0.0,0.0,0.0,-77.0287396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argyle Park,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,ChIJdVeHvkjPt4kRlThQ6WXtjKk,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver Spring,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39ac85b183b9368386ca549d0d6b6a4189270ea0,0.0,0.0,39.0175427,0.0,0.0,0.0,0.0,-77.028209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argyle Park Activity Building,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,ChIJC_T-V0_Pt4kR4Nc64XUSnaw,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1030 Forest Glen Road, Silver Spring",0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671b9c6be3b27310e6971a583551ca81eee47ef2,0.0,0.0,39.0138249,0.0,0.0,0.0,0.0,-77.0162336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hastings Neighborhood Conservation Area,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,ChIJ53ajMlHPt4kR3wEAOS_zxug,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"300 Granville Drive, Silver Spring",0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8fbdeb8a08d312f1f3d19b2be2940a5fa5d22e52,0.0,0.0,39.0160098,0.0,0.0,0.0,0.0,-77.0107449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indian Spring Terrace Park,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,ChIJ-4SSDvjFt4kR27dNpHOwqpY,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver Spring,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9169ee7d8af674611cd61d72cbe2b3f3da25ae49,0.0,0.0,39.0103063,0.0,0.0,0.0,0.0,-77.0440331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montgomery Hills Park,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,ChIJjWG0sTLPt4kR_vC1OJZK1Js,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silver Spring,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3b3659ee9408f5561b953a31ec18c7330cea0a36,0.0,0.0,39.0102975,0.0,0.0,0.0,0.0,-77.0219367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maryland Nt Capital Pk Plg Cmm,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,ChIJHxWWeFLPt4kR7iK3Ac_qp-c,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9500 Brunett Avenue, Silver Spring",0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dbba5389082752cce83ac7ddf7609a2eacec4021,0.0,0.0,39.0114009,0.0,0.0,0.0,0.0,-77.0243296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MNCPPC,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,ChIJxz-WeFLPt4kRfTKSUNLK0lQ,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9500 Brunett Avenue # 110, Silver Spring",0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bdd58a6f056ea720f0dbcb9a31b770a63ea723bf,0.0,0.0,39.0114139,0.0,0.0,0.0,0.0,-77.0243378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montgomery Parks Headquarters,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,ChIJ6yAYtk3Pt4kRCnSAZzgaekE,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9500 Brunett Avenue, Silver Spring",0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2fa132dc0eaaa2b36dde88492c1aeda2a9867e4a,0.0,0.0,39.0067347,0.0,0.0,0.0,0.0,-77.0139052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seven Oaks Neighborhood Park,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,ChIJbRbu1VTPt4kROeLm78HzPmo,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"200 Hamilton Avenue, Silver Spring",0.0
