,accounting,airport,amusement_park,aquarium,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,electrician,electronics_store,embassy,fire_station,florist,funeral_home,furniture_store,gas_station,grocery_or_supermarket,gym,hair_care,hardware_store,hindu_temple,home_goods_store,hospital,id,insurance_agency,jewelry_store,lat,laundry,lawyer,library,liquor_store,lng,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,name,night_club,num_photos,painter,park,parking,pet_store,pharmacy,physiotherapist,place_id,plumber,police,post_office,price_level,rating,real_estate_agency,restaurant,roofing_contractor,rv_park,school,shoe_store,shopping_mall,spa,stadium,storage,store,subway_station,synagogue,taxi_stand,train_station,transit_station,travel_agency,university,veterinary_care,vicinity,zoo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4832b0bbb2afc22ece257d446f42fe99bc1a05b9,0.0,0.0,38.9966761,0.0,0.0,0.0,0.0,-77.0263161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Footaction,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJRSqEHLrIt4kR6-2bFhDaphw,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8661 Colesville Road, Silver Spring",0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,df71aca0bf56b04ebe79dc92bb259800c1a37575,0.0,0.0,38.9970338,0.0,0.0,0.0,0.0,-77.0270769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rainbow,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJLSFbBbrIt4kR2MGkiQePFz0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8661 Colesville Road, Silver Spring",0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c547478e50a3b8a7bf86be3ed38ad116b4666c45,0.0,0.0,38.9970038,0.0,0.0,0.0,0.0,-77.0262643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dolce Vita,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJuQhIDbrIt4kR3GnF6-RoYm0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8661 Colesville Road, Silver Spring",0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6964fc3a3e6c6a0c20173a5410e01b660056821e,0.0,0.0,38.9969172,0.0,0.0,0.0,0.0,-77.0264368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rainbow,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJMbUS5lPPt4kROys-pHzK_I4,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8661 Colesville Road, Silver Spring",0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e71d304c33a206cbd64b5cea8f868a8547311b03,0.0,1.0,38.9956379,0.0,0.0,0.0,0.0,-77.0272871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York & Company,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJVa27LrrIt4kRpB6zHhWope0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"937 Ellsworth Drive, Silver Springs",0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5d96ad7e72594c3aa6ce6b30f9cbcc92d67b0bb1,0.0,0.0,38.9962243,0.0,0.0,0.0,0.0,-77.0251731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Men's Wearhouse,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJhVT3YLrIt4kRO333qHQdw28,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8514 Fenton Street, Silver Spring",0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3161d34ea4fec2ce5d317a8627df2249e3067ba8,0.0,0.0,38.9960577,0.0,0.0,0.0,0.0,-77.0260717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DSW Designer Shoe Warehouse,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJacpaQLrIt4kRQurj0NT4KZo,0.0,0.0,0.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"910 Ellsworth Drive, Silver Spring",0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97b4249df68012cf865f19e126a96c8be2b0d3c9,0.0,0.0,38.9904245,0.0,0.0,0.0,0.0,-76.986387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rainbow,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJ0zI21RLGt4kR-0gLQALvXsc,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8001 New Hampshire Avenue #20, Hyattsville",0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4b6bc500dff734d92f9166468a908658d0b7b446,0.0,0.0,38.9897142,0.0,0.0,0.0,0.0,-76.9858736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Payless ShoeSource,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJ83bCLBPGt4kRSr5jT9Npm94,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7943 New Hampshire Avenue Northeast, Hyattsville",0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99dbbf3ccc3556f778c239672062f73974b846f2,0.0,0.0,38.990301,0.0,0.0,0.0,0.0,-76.986132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shoe Dept.,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJNTvbKhPGt4kRPzoZ4afbluQ,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7977 New Hampshire Avenue, Hyattsville",0.0
