,accounting,airport,amusement_park,aquarium,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,electrician,electronics_store,embassy,fire_station,florist,funeral_home,furniture_store,gas_station,grocery_or_supermarket,gym,hair_care,hardware_store,hindu_temple,home_goods_store,hospital,id,insurance_agency,jewelry_store,lat,laundry,lawyer,library,liquor_store,lng,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,name,night_club,num_photos,painter,park,parking,pet_store,pharmacy,physiotherapist,place_id,plumber,police,post_office,price_level,rating,real_estate_agency,restaurant,roofing_contractor,rv_park,school,shoe_store,shopping_mall,spa,stadium,storage,store,subway_station,synagogue,taxi_stand,train_station,transit_station,travel_agency,university,veterinary_care,vicinity,zoo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63b6572dfc882b84986e5ad068a3f2185d6bee24,0.0,0.0,38.9922962,0.0,0.0,0.0,0.0,-77.0306485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,National Sea Grant College Program,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJ0_0uJr_It4kROgtvfsE9-pw,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"1315 East-West Highway, Silver Spring",0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f12c6f3d8de2c56c785b98b09ce47aeb18fa7c37,0.0,0.0,38.9942321,0.0,0.0,0.0,0.0,-77.0284536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucd,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJQ-rlaLnIt4kR7QDBS2uTkRk,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"1100 Wayne Avenue # 100, Silver Spring",0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0ed4c4565cb9c1a49119a17c999eab5e79e03c59,0.0,0.0,38.9863861,0.0,0.0,0.0,0.0,-77.0010266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington Adventist University,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJfdY-XRjGt4kR6pXfRYMeo2s,0.0,0.0,0.0,,3.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"7600 Flower Avenue, Takoma Park",0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151ace9d3953d06f195a4c0a714138c7d51f7264,0.0,0.0,38.9731757,0.0,0.0,0.0,0.0,-77.0138779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Strayer University Takoma Park Campus,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJxX3nqYPIt4kRJ_PaZ9OO0o8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"6830 Laurel Street Northwest, Washington",0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78a0ea4f302d5fc761013c115ba6d1d0b60a4ee8,0.0,0.0,38.965957,0.0,0.0,0.0,0.0,-77.076387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Madison Assessment LLC,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,ChIJBXebtaPJt4kRZ-8pIurZ44Y,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Washington,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d4c95356788b439be796e3720aded3798deba0a4,0.0,0.0,38.9710702,0.0,0.0,0.0,0.0,-76.9752519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pallotti College,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJRc0tBVDGt4kREsEyurngXjw,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hyattsville,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117c54fe61ea2d0917f5ced6248427d902a5c6cd,0.0,0.0,38.969468,0.0,0.0,0.0,0.0,-76.95287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dunwoody Press,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJ6yt8G_DGt4kRGquVaxfhxp0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"6525 Belcrest Road, Hyattsville",0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0772cafbba09149921375c9c896ebd7acb01a10c,0.0,0.0,38.9563674,0.0,0.0,0.0,0.0,-77.0840199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American Friends of the Hebrew University,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJZYOxKpfJt4kRZc1dd1ZRVlc,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"5100 Wisconsin Avenue Northwest, Washington",0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec316126be0ee909f3c8945b82e78f19e9ccd850,0.0,0.0,38.9557379,0.0,0.0,0.0,0.0,-77.029953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Howard University,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJR_cXjWjIt4kRe6OzLiUTBW4,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"13th Street Northwest, Washington",0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06acba61046f516b79ec67112f584204732e9c38,0.0,0.0,38.9492596,0.0,0.0,0.0,0.0,-77.0818229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American University Center for Global Peace,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ChIJh0dpBuPJt4kRtCwPSE1uOq4,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Washington,0.0
