OBJECTID,ZIPCODE,GIS_ID,WEB_URL,EPA_URL,NAME,TYPE,UNINSURED_POPULATION,MEDICAID_RECIPIENT,LABEL,ZIP_CODE_TEXT,SHAPEAREA,SHAPELEN
88,20405,ZIP_405,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20405,GENERAL SERVICES ADMINISTRATION,UNIQUE,0,0,20405,20405,0,0
89,20407,ZIP_407,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20407,GENERAL SERVICES ADMINISTRATION,UNIQUE,0,0,20407,20407,0,0
90,20408,ZIP_408,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20408,NATIONAL ARCHIVES,UNIQUE,0,0,20408,20408,0,0
91,20410,ZIP_410,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20410,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,UNIQUE,0,0,20410,20410,0,0
92,20411,ZIP_411,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20411,FEDERAL HOUSING ADMINISTRATION,UNIQUE,0,0,20411,20411,0,0
93,20412,ZIP_412,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20412,FEDERAL HOUSING ADMINISTRATION,UNIQUE,0,0,20412,20412,0,0
94,20415,ZIP_415,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20415,OFFICE OF PERSONNEL MANAGEMENT,UNIQUE,0,0,20415,20415,0,0
95,20416,ZIP_416,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20416,SMALL BUSINESS ADMINISTRATION,UNIQUE,0,0,20416,20416,0,0
1,20001,ZIP_001,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20001, ,STANDARD,3287,10168,20001,20001,0,0
2,20002,ZIP_002,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20002, ,STANDARD,2786,15950,20002,20002,0,0
3,20003,ZIP_003,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20003, ,STANDARD,914,2989,20003,20003,0,0
4,20004,ZIP_004,http://www.usps.gov,,,STANDARD,9,7,20004,2004,0,0
5,20005,ZIP_005,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20005, ,STANDARD,522,1301,20005,20005,0,0
6,20006,ZIP_006,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20006, ,STANDARD,11,16,20006,20006,0,0
