,SALEPRICE,latitude,longitude,LANDAREA,zipcode,bakery_count,bar_count,cafe_count,grocery_or_supermarket_count,movie_theater_count,park_count,pharmacy_count,restaurant_count,school_count,spa_count,subway_station_count,bakery_mean_rating,bar_mean_rating,cafe_mean_rating,grocery_or_supermarket_mean_rating,movie_theater_mean_rating,park_mean_rating,pharmacy_mean_rating,restaurant_mean_rating,school_mean_rating,spa_mean_rating,subway_station_mean_rating,bakery_mean_price_level,bar_mean_price_level,cafe_mean_price_level,grocery_or_supermarket_mean_price_level,pharmacy_mean_price_level,restaurant_mean_price_level,spa_mean_price_level
0,366000,38.9252905465,-76.9797563101,5249,20018,4,12,3,6,0,3,4,44,14,1,0,3.85068362564,4.1125,4.55,4.7,4.42829139848,4.6,3.25,3.95666666667,4.28546914751,4.13930632238,3.95466721784,1.0,1.66666666667,1.5,1.95069649139,2.0,1.36363636364,2.51952586207
1,405500,38.9260645262,-76.9793153944,4967,20018,4,8,3,6,0,3,4,30,12,1,0,3.85068362564,4.08,4.55,4.7,4.42829139848,4.6,3.25,4.0619047619,4.28546914751,4.13930632238,3.95466721784,1.0,1.5,1.5,1.95069649139,2.0,1.38461538462,2.51952586207
3,399000,38.9272915525,-76.9819163682,6801,20018,3,11,3,8,0,6,6,36,20,1,0,3.85068362564,4.1625,4.43333333333,4.0,4.42829139848,4.6,3.25,4.068,4.4,4.13930632238,3.95466721784,1.4762331287,1.8,2.0,2.0,2.0,1.4375,2.51952586207
5,235000,38.9279023461,-76.9801360213,4310,20018,3,11,3,6,0,5,4,37,16,1,0,3.85068362564,4.1625,4.43333333333,4.7,4.42829139848,4.6,3.25,4.08461538462,4.4,4.13930632238,3.95466721784,1.4762331287,1.8,2.0,1.95069649139,2.0,1.4375,2.51952586207
6,412500,38.928642486,-76.980557665,2429,20018,3,12,3,6,0,6,5,37,20,1,0,3.85068362564,4.11111111111,4.43333333333,4.65,4.42829139848,4.6,3.25,4.11153846154,4.4,4.13930632238,3.95466721784,1.4762331287,1.83333333333,2.0,3.0,2.0,1.47058823529,2.51952586207
7,385000,38.9283568824,-76.981612486,4918,20018,3,11,3,8,0,6,5,35,23,1,0,3.85068362564,4.1625,4.43333333333,4.2,4.42829139848,4.6,3.25,4.068,4.4,4.13930632238,3.95466721784,1.4762331287,1.8,2.0,2.5,2.0,1.4375,2.51952586207
8,300000,38.9294945336,-76.9796527375,4500,20012,2,9,3,6,0,5,5,26,15,1,0,3.85068362564,4.22857142857,4.43333333333,4.65,4.42829139848,4.6,3.25,4.09523809524,4.28546914751,4.13930632238,3.95466721784,1.4762331287,1.6,2.0,3.0,2.0,1.42857142857,2.51952586207
10,465000,38.929875013,-76.9797656964,5000,20018,2,10,3,6,0,4,5,31,17,1,0,3.85068362564,4.22857142857,4.43333333333,4.65,4.42829139848,4.6,3.25,4.07826086957,4.28546914751,4.13930632238,3.95466721784,1.4762331287,1.6,2.0,3.0,2.0,1.4,2.51952586207
12,415000,38.9298204724,-76.9795860494,2750,20018,2,8,3,6,0,4,5,23,15,1,0,3.85068362564,4.25,4.43333333333,4.65,4.42829139848,4.6,3.25,4.12631578947,4.28546914751,4.13930632238,3.95466721784,1.4762331287,1.5,2.0,3.0,2.0,1.36363636364,2.51952586207
16,325000,38.9316666841,-76.9798252708,1788,20018,1,10,3,6,0,5,5,31,17,1,0,3.85068362564,4.22857142857,4.43333333333,4.65,4.42829139848,4.6,3.25,4.07826086957,4.28546914751,4.13930632238,3.95466721784,1.4762331287,1.6,2.0,3.0,2.0,1.4,2.51952586207
17,310000,38.9313321334,-76.9816386225,6400,20001,1,10,3,6,0,6,5,31,25,1,0,3.85068362564,4.22857142857,4.43333333333,4.65,4.42829139848,4.6,3.25,4.07826086957,4.4,4.13930632238,3.95466721784,1.4762331287,1.6,2.0,3.0,2.0,1.4,2.51952586207
18,410000,38.9327643047,-76.9803205948,3938,20037,1,10,3,6,0,5,5,31,20,1,0,3.85068362564,4.22857142857,4.43333333333,4.65,4.42829139848,4.6,3.25,4.07826086957,4.4,4.13930632238,3.95466721784,1.4762331287,1.6,2.0,3.0,2.0,1.4,2.51952586207
22,444000,38.9334723738,-76.9799499031,1649,20018,1,10,3,6,0,5,5,30,21,2,0,3.85068362564,4.22857142857,4.43333333333,4.65,4.42829139848,4.6,3.25,4.09090909091,4.4,4.13930632238,3.95466721784,1.4762331287,1.6,2.0,3.0,2.0,1.42857142857,2.51952586207
23,643900,38.9342934469,-76.9818197724,5080,20002,0,8,3,5,0,6,2,26,23,2,0,3.85068362564,4.08,4.43333333333,4.65,4.42829139848,4.6,3.2,4.09473684211,4.4,4.13930632238,3.95466721784,1.4762331287,1.75,2.0,3.0,1.89565234791,1.41666666667,2.51952586207
24,330000,38.9347587525,-76.9816335419,2371,20018,0,8,3,5,0,6,2,25,23,2,0,3.85068362564,4.08,4.43333333333,4.65,4.42829139848,4.6,3.2,4.11666666667,4.4,4.13930632238,3.95466721784,1.4762331287,1.75,2.0,3.0,1.89565234791,1.41666666667,2.51952586207
25,390000,38.9347562855,-76.9805609553,3125,20018,0,8,3,5,0,6,2,25,19,2,0,3.85068362564,4.08,4.43333333333,4.65,4.42829139848,4.6,3.2,4.11666666667,4.4,4.13930632238,3.95466721784,1.4762331287,1.75,2.0,3.0,1.89565234791,1.41666666667,2.51952586207
